logged_at,offer_id,trace_id,item_name,mcat_name,price,specs_category_outlier_status,specs_category_outlier_reason,title_category_outlier_status,title_category_outlier_reason,photo_category_outlier_status,photo_category_outlier_reason,photo_title_verdict,photo_title_verdict_reason,title_spec_verdict,title_spec_verdict_reason,price_flag_verdict,price_flag_reason,retail_classification,retail_classi_score,retail_confidence,retail_override_applied,retail_reason,retail_error,price_agent_result,price_agent_score,price_agent_confidence,price_value_by_ai,price_agent_reason,price_error,buyer_profile_genuineness,buyer_profile_score,buyer_profile_confidence,buyer_profile_reason,buyer_profile_error
2026-05-11 16:01:38,143950130346,143950130346_20260511_160127,Plastic Jars PET Jars,PET Jars,0,not_outlier,Product specifications regarding capacity and usage for packing are consistent with products typically found in the 'PET Jars' category.,not_outlier,The product title 'Plastic Jars PET Jars' directly matches the category name 'PET Jars'.,not_outlier,The primary object 'plastic jar' is consistent with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Plastic Jars PET Jars' aligns well with specifications describing quantity, capacity, shape, and usage for packing.",outlier,Price Absurd,RETAIL,0.8,High,No,"PET Jars are packaging, neutral category. Quantity of 50 pieces is small. High retailer purchase share (80%) indicates retail.",,Correct,0.8,High,₹ 378.00 - ₹ 499.50,Buyer value within AI range and deviation under 25%,,Genuine,0.85,Medium,"3 out of 4 enquired products ('Plastic Jars Pet Jars', 'Plastic PET Jars', '110ml Pet Bottle In Teddy Bear Shape') are directly related to PET Jars, with one unrelated item ('Teddy Bear Crystal Box').",
2026-05-11 16:01:50,143995411285,143995411285_20260511_160138,Plastic PET Jar,PET Jars,0,not_outlier,"Product specifications (capacity, usage for spices packing) are consistent with the general use of PET jars within the category.",not_outlier,The product title 'Plastic PET Jar' directly corresponds to the category name 'PET Jars'.,not_outlier,Primary object 'Empty jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Plastic PET Jar' aligns with the specifications detailing quantity, capacity, and usage.",outlier,Price Absurd,RETAIL,0.8,High,No,"PET Jars are typically retail-oriented. Quantity (100) is within normal retail stocking levels, and marketplace signals lean towards retail.",,Correct,0.8,Medium,"₹ 1,080.00 - ₹ 1,320.00","Buyer range overlaps AI range with low deviation. BL data was weak, Median was primary anchor.",,Genuine,1.0,Medium,"All 3 previous enquiries ('50 Gram Pet Cream Jar', 'Plastic Pet Jar', '100 Ml Pet Jar') are in the same category as the current BuyLead ('PET Jars').",
2026-05-11 16:02:01,143951273946,143951273946_20260511_160150,"Plain Amber 500ml Phenyl Old Glass Bottle, Screw Cap",Phenyl Bottles,0,not_outlier,The product specifications including 'Capacity: 500 ml' and 'Material: Glass' are consistent with the category 'Phenyl Bottles'.,not_outlier,"The product title 'Plain Amber 500ml Phenyl Old Glass Bottle, Screw Cap' directly matches the category 'Phenyl Bottles'.",not_outlier,The primary object 'Glass bottle with screw cap' aligns with the category 'Phenyl Bottles'.,not_outlier,,not_outlier,"The product title 'Plain Amber 500ml Phenyl Old Glass Bottle, Screw Cap' is consistent with the product specifications for capacity and material.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,"Large quantity (5000 bottles) of Phenyl, a cleaning agent, suggests wholesale distribution or institutional use rather than retail resale.",,Unverifiable,0.0,Low,₹ 0.00 - ₹ 0.00,"No reference price data available, hence unverifiable.",,Genuine,1.0,Medium,"Both enquired products ('480ml phenyl Old Glass Bottle', 'White Phenyl Pet Bottle') are directly related to the current BuyLead's category of 'Phenyl Bottles'.",
2026-05-11 16:02:12,143956842385,143956842385_20260511_160201,Plastic Jar,PET Jars,0,not_outlier,"The specifications 'Quantity: 1000 Piece, Capacity: 1 kg, Shape: Round, Square' are consistent with products found in the 'PET Jars' category.",not_outlier,The product title 'Plastic Jar' is directly relevant to the category 'PET Jars'.,not_outlier,The primary object 'plastic jar' aligns with the category 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Plastic Jar' is consistent with the specifications 'Quantity: 1000 Piece, Capacity: 1 kg, Shape: Round, Square'.",outlier,Price Absurd,RETAIL,0.6,Medium,No,"Category nature (packaging for consumer goods) + moderate quantity lean Retail. Wholesaler share is higher, but retailer NI signal aligns with Retail.",,Correct,0.8,High,"₹ 10,800.00 - ₹ 15,120.00","AI range overlaps buyer range, deviation is low.",,Genuine,1.0,Medium,"Both prior enquiries ('Plastic Jar', 'Ghee jars/ pet plastic jars') are directly related to the current BuyLead category 'PET Jars'.",
2026-05-11 16:02:24,143973575885,143973575885_20260511_160212,200 Ml PET Jar,PET Jars,0,not_outlier,"The product specifications mention 'Capacity: 100 g', which is a weight, while the category is 'PET Jars'. This is not a direct contradiction but a difference in measurement type.",not_outlier,The product title '200 Ml PET Jar' accurately reflects the category 'PET Jars'.,not_outlier,The primary object (clear plastic jar) is consistent with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title specifies '200 Ml' volume, while the specifications mention 'Capacity: 100 g' (weight), indicating a potential mismatch.",outlier,Price Absurd,UNCLASSIFIED,,None,No,Classification skipped — Quantity is missing or invalid.,,Unverifiable,0.0,Low,₹ 0 - ₹ 0,No reference price data available for this category and unit.,,Genuine,0.85,Medium,"3 of 4 previous enquiries match the 'PET Jars' category or are adjacent (bottles). '200 ml PET Jar' and '150ml PET Capsule Empty Bottle' are direct matches or very similar. 'Cosmetics Apple jar' is also a jar, and 'EMPTY Toner Powder Bottles' are related containers.",
2026-05-11 16:02:35,143856379563,143856379563_20260511_160224,250 g 400g and 1kg pet jar for pickles,PET Jars,0,not_outlier,The product specifications mention capacity and shape which are consistent with the category 'PET Jars'.,not_outlier,The product title 'pet jar for pickles' directly corresponds to the category name 'PET Jars'.,not_outlier,The primary object 'plastic jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,The product title 'pet jar for pickles' aligns with the product specifications for capacity and usage ('Pickle').,outlier,Price Absurd,NON-RETAIL,0.8,High,No,"Quantity (10000) is far beyond retail stocking levels for PET Jars, indicating wholesale or own-use.",,Not-Correct,0.2,High,₹ 96000.0 - ₹ 144000.0,"AI range significantly higher than buyer's order value, indicating a large mismatch.",,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:02:47,143967418513,143967418513_20260511_160235,1 Kg Plastic PET Jars,PET Jars,0,not_outlier,"The product specifications, including capacity and usage, are consistent with the category 'PET Jars'.",not_outlier,The product title '1 Kg Plastic PET Jars' corresponds to the category 'PET Jars'.,not_outlier,The primary object 'plastic jars' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title '1 Kg Plastic PET Jars' aligns with the product specifications detailing quantity, capacity, and usage.",outlier,Price Absurd,NON-RETAIL,0.6,Medium,No,Quantity is very high for retail stocking. Marketplace signals lean Non-Retail.,,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,No reference price data available for PET Jars (PIECE).,,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:02:58,143957936613,143957936613_20260511_160247,100 g PET Jar,PET Jars,0,not_outlier,"The product specifications indicating 'Capacity: 100 g', 'Shape: Round', and 'Usage: Ghee' are consistent with the 'PET Jars' category.",not_outlier,The product title '100 g PET Jar' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'PET Jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,The product title '100 g PET Jar' is consistent with specifications including 'Capacity: 100 g'.,outlier,Price Absurd,RETAIL,0.8,High,No,"PET Jars are neutral category. Moderate quantity (100 units) aligns with retail. High wholesaler purchase share (53%) leans Non-Retail, but retailer NI (25) and strong retailer approval signal (43%) favor Retail.",,Correct,0.8,High,₹ 156.0 - ₹ 199.5,AI range overlaps buyer range with acceptable deviation,,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:03:10,143983142367,143983142367_20260511_160258,18 Liter Plain Plastic Jar,PET Jars,0,not_outlier,The product specifications mentioning usage for 'Cookies' and a 'Round' shape are consistent with the general use of 'PET Jars'.,not_outlier,The product title '18 Liter Plain Plastic Jar' aligns with the category name 'PET Jars'.,not_outlier,The primary object 'plastic jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,The product title '18 Liter Plain Plastic Jar' is consistent with specifications mentioning 'Capacity: 1 kg' and usage for 'Cookies'.,outlier,Price Absurd,RETAIL,0.6,Medium,No,"PET Jars are neutral category. Quantity 50 is plausible for retail. Retailer purchases dominate, leaning Retail.",,Correct,0.8,High,₹ 603.0 - ₹ 787.5,AI range overlaps buyer range with moderate deviation.,,Genuine,1.0,Low,"The buyer previously enquired about the exact same product ('18 Liter Plain Plastic Jar'), which is in the same category (PET Jars) as the current BuyLead.",
2026-05-11 16:03:21,143972064452,143972064452_20260511_160310,500ml Blue Plastic Bottle,Phenyl Bottles,0,not_outlier,"The product specification 'Capacity: 500 ml' and 'Quantity: 250 Bottle' is somewhat consistent with the category 'Phenyl Bottles', though the quantity seems unusually high for a single listing.",not_outlier,The product title '500ml Blue Plastic Bottle' aligns with the category name 'Phenyl Bottles'.,not_outlier,The primary object 'blue plastic bottle' aligns with the category name 'Phenyl Bottles'.,not_outlier,,not_outlier,The product title '500ml Blue Plastic Bottle' is consistent with the product specifications mentioning 'Capacity: 500 ml'.,outlier,Price Absurd,NON-RETAIL,0.8,High,Yes — Unit = Bottle and qty >= 200,"The category unit is 'Bottle' and quantity is 250, which is >= 200. This triggers the hard override for non-retail classification.",,Unverifiable,0.0,Low,₹ 0.00 - ₹ 0.00,No reference price data available for this category and unit.,,Genuine,1.0,Medium,"All 3 prior enquiries (500ml Blue Plastic Bottle, Phenyl Bottle, 1 Liter Phenyl Pet Bottle) are the same category as the current BuyLead (Phenyl Bottles).",
2026-05-11 16:03:33,143972818146,143972818146_20260511_160321,5000ml PET Jar,PET Jars,0,not_outlier,"The product specifications mention '18 liter', which is a volume measurement consistent with PET jars in the category.",not_outlier,The product title '5000ml PET Jar' clearly falls under the category 'PET Jars'.,not_outlier,"The primary object 'clear PET jar' is a type of PET jar, aligning with the category name 'PET Jars'.",not_outlier,,not_outlier,"The product title '5000ml PET Jar' is consistent with the specifications mentioning '18 liter', as both refer to container volume.",outlier,Price Absurd,NON-RETAIL,0.6,Medium,No,"Neutral category, quantity lean non-retail, higher wholesaler purchase share.",,Not-Correct,0.2,High,₹ 10.92 - ₹ 15.84,"Buyer range significantly higher than AI range, outside deviation limit.",,Genuine,1.0,Low,"The only prior enquiry for '5000ml PET Jar' is identical to the current BuyLead Title and Category, indicating strong relatedness.",
2026-05-11 16:03:44,143950365285,143950365285_20260511_160333,Bath Soaps,Bath Soaps,0,not_outlier,"The product specifications describe attributes of soap (quantity, brand, weight, variant), which aligns with the category 'Bath Soaps'.",not_outlier,The product title 'Bath Soaps' directly matches the category name 'Bath Soaps'.,not_outlier,The primary object 'bath soap' is consistent with the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'Bath Soaps' is consistent with the product specifications describing quantity, brand, weight, and variant of soap.",outlier,Price Absurd,RETAIL,0.8,High,No,"Bath Soaps is retail-oriented FMCG. Low quantity (2) and strong retailer purchase signals (75% of purchases, 26 NI) support RETAIL.",,Correct,0.8,High,₹ 136.3 - ₹ 166.3,"AI range has partial overlap and deviation is borderline, but buyer price is within tolerance.",,Genuine,1.0,Medium,"All 2 prior enquiries (Novasteen Soap, Renatus Novasteen Ayurvedic Soap) are directly related to the current BuyLead for Bath Soaps.",
2026-05-11 16:03:56,143959672613,143959672613_20260511_160344,250g Transparent Cylindrical PET Jar,PET Jars,0,not_outlier,"The product specifications, including capacity and shape, are consistent with items found in the 'PET Jars' category.",not_outlier,The product title '250g Transparent Cylindrical PET Jar' directly corresponds to the category name 'PET Jars'.,not_outlier,The primary object 'transparent cylindrical jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,The product title '250g Transparent Cylindrical PET Jar' is consistent with specifications mentioning 'Capacity: 250 g' and 'Shape: Round'.,outlier,Price Absurd,NON-RETAIL,0.6,Medium,No,"Category is neutral, quantity is high for retail, marketplace signals lean non-retail, NI signals are mixed.",,Correct,0.8,High,₹ 180.0 - ₹ 276.0,"AI range overlaps buyer value; Deviation is borderline, leaning towards Correct due to partial overlap.",,Suspicious,0.2,Medium,"2 of 5 enquiries (PET Jar, PET Can) are related. 3 (Vending Machines, Sealing Machines) are unrelated to PET Jars.",
2026-05-11 16:04:07,143994353234,143994353234_20260511_160356,250gm Dry Fruits Packaging Plastic Jar,PET Jars,0,not_outlier,"The product specifications describe a container (Quantity, Capacity, Shape), which is generally consistent with the category 'PET Jars'.",not_outlier,The product title 'Plastic Jar' is consistent with the category 'PET Jars'.,not_outlier,The primary object 'Plastic Jar' directly corresponds to the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title 'Plastic Jar' aligns with specifications describing a container with quantity, capacity, and shape.",outlier,Price Absurd,RETAIL,0.6,Medium,No,"Category neutral, quantity normal for retail. Marketplace signals lean retail (retail share 45%) but NI signals lean non-retail. Retailer NI=1 is low, wholesaler NI=24 is high.",,Correct,0.8,High,₹ 10.50 - ₹ 14.18,"Buyer order value overlaps with AI range, with moderate deviation.",,Genuine,0.67,Medium,"2 of 3 enquiries (Dry Fruits Packaging Plastic Jar, Glass Storage Jar) related. 'Glass Color Jars' is adjacent/related.",
2026-05-11 16:04:19,143985593613,143985593613_20260511_160407,550 Ml Packaging Jar,PET Jars,0,not_outlier,"The product specifications, particularly 'Material: PET', directly support the product belonging to the 'PET Jars' category.",not_outlier,The product title '550 Ml Packaging Jar' is consistent with the category name 'PET Jars'.,not_outlier,The primary object 'packaging jar' aligns with the category name 'PET Jars'.,not_outlier,,not_outlier,"The product title '550 Ml Packaging Jar' is consistent with the provided specifications, which detail capacity and material.",outlier,Price Absurd,RETAIL,0.6,Medium,No,PET Jars are neutral category. Quantity is moderate. Marketplace signals lean Non-Retail (263 vs 217). NI signals lean Non-Retail (24 vs 1). Low Retailer NI vs high Wholesaler NI suggests bulk purchase.,,Correct,0.6,High,₹ 11.88 - ₹ 16.37,"AI range overlaps buyer value with acceptable deviation, indicating correct pricing.",,Genuine,1.0,Medium,"Both prior enquiries ('550 ML Packaging Jar', '250g Cookie Packaging PET Jar') are directly related to the current BuyLead ('550 Ml Packaging Jar' in 'PET Jars').",
2026-05-11 16:04:30,143994976763,143994976763_20260511_160419,Global Soap,Bath Soaps,0,not_outlier,"Product specifications detailing quantity, weight, and variant are consistent with the category name 'Bath Soaps'.",not_outlier,The product title 'Global Soap' aligns with the category name 'Bath Soaps'.,not_outlier,The primary object 'soap bar' aligns with the category name 'Bath Soaps'.,not_outlier,,not_outlier,"The product title 'Global Soap' is consistent with product specifications that describe a soap product with quantity, weight, and variant details.",outlier,Price Absurd,RETAIL,0.8,High,No,Bath soaps are retail-oriented. Low quantity (4 pcs) and high retailer purchase share (69%) strongly indicate retail B2B.,,Correct,0.8,High,₹ 67.5 - ₹ 90.0,Buyer range and AI range show good overlap with low deviation.,,Genuine,1.0,Medium,"All 3 prior enquiries ('Global Soap', 'ROOP SUNDARI GOLD SOAP') are in the same category ('Bath Soaps') as the current BuyLead.",
2026-05-11 16:04:41,143989018613,143989018613_20260511_160430,Transparent 1kg PET Pickle Jar,PET Jars,0,not_outlier,"Product specifications, such as 'Capacity: 1 kg' and 'Usage: Spices Packing', align with the 'PET Jars' category.",not_outlier,Product title 'Transparent 1kg PET Pickle Jar' is consistent with the 'PET Jars' category.,not_outlier,Primary object 'PET Jar' directly corresponds to the category name 'PET Jars'.,not_outlier,,not_outlier,Product title 'Transparent 1kg PET Pickle Jar' aligns with product specifications such as 'Capacity: 1 kg' and 'Usage: Spices Packing'.,outlier,Price Absurd,RETAIL,0.8,High,No,Category (PET Jars) is neutral but low quantity (10 pieces) and high retailer purchase share (100%) indicate retail.,,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,No reference price data found for the specified category and unit.,,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:04:53,143969640795,143969640795_20260511_160441,PET Jars,PET Jars,0,not_outlier,"Product specifications describe jars, which are consistent with the 'PET Jars' category.",not_outlier,Product title 'PET Jars' directly matches the category name 'PET Jars'.,not_outlier,Primary object 'plastic jars' aligns with the category 'PET Jars'.,not_outlier,,not_outlier,"Product title 'PET Jars' is consistent with specifications like quantity, capacity, and shape.",outlier,Price Absurd,NON-RETAIL,0.8,High,No,Category is neutral packaging; quantity is high for retail stocking; wholesaler purchases dominate.,,Unverifiable,0.0,Low,₹ 0.0 - ₹ 0.0,"No reference price data (Median_Price=0) available for this category and unit, making AI pricing impossible.",,Genuine,1.0,Medium,"All 4 prior enquiries, including 'Pet Jars' and specific jar types, align with the current 'PET Jars' BuyLead.",
2026-05-11 16:05:04,143992006767,143992006767_20260511_160453,Bath Soaps,Bath Soaps,0,not_outlier,The product specifications for 'Lifebuoy' soap are consistent with the category 'Bath Soaps'.,not_outlier,The product title 'Bath Soaps' directly matches the category name 'Bath Soaps'.,not_outlier,The primary object 'soap bar' corresponds to the category 'Bath Soaps'.,not_outlier,,not_outlier,The product title 'Bath Soaps' aligns with the product specifications that describe a 'Lifebuoy' soap variant with quantity and weight.,outlier,Price Absurd,RETAIL,0.8,High,No,"Bath Soaps are retail-oriented. High quantity (1080) leans Non-Retail, but Wholesaler share (56%) and NI signal (Wholesaler NI=10) are neutral to Non-Retail. Overall signals lean Retail.",,Unverifiable,0.0,Low,₹ 0 - ₹ 0,No reference price data for category-unit.,,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
2026-05-11 16:05:16,143973540746,143973540746_20260511_160504,5 Litre Phenyl Plastic Bottle,Phenyl Bottles,0,not_outlier,"The product specifications, including capacity and material, are consistent with products found in the 'Phenyl Bottles' category.",not_outlier,The product title '5 Litre Phenyl Plastic Bottle' directly corresponds to the category name 'Phenyl Bottles'.,not_outlier,The primary object '5 litre bottle' is consistent with the category name 'Phenyl Bottles'.,not_outlier,,not_outlier,The product title '5 Litre Phenyl Plastic Bottle' is consistent with the product specifications indicating 'Capacity: 5 Litre' and 'Material: PET'.,outlier,Price Absurd,RETAIL,0.8,Medium,No,"Category (bottles) and quantity (50 pcs) lean retail. Marketplace signals (4/5 retailer pur) support retail, but NI signals are absent.",,Unverifiable,0.0,Low,₹ 320.0 - ₹ 480.0,"Order value range does not overlap with AI-generated range, indicating a significant mismatch.",,Unverifiable,,None,No prior product enquiries available — cannot assess relatedness to the current BuyLead.,
